,subj,handedness,finger,hand,dominant_hand,time_bin,taps_bin
338,56,right,pinky,left,False,2,46
339,56,right,pinky,left,False,3,46
340,56,right,pinky,left,False,4,48
341,56,right,pinky,left,False,5,42
342,57,left,index,right,False,0,72
343,57,left,index,right,False,1,72
344,57,left,index,right,False,2,73
345,57,left,index,right,False,3,71
346,57,left,index,right,False,4,71
347,57,left,index,right,False,5,66
348,58,right,index,right,True,0,90
349,58,right,index,right,True,1,78
350,58,right,index,right,True,2,93
351,59,right,pinky,left,False,0,47
352,59,right,pinky,left,False,1,47
353,59,right,pinky,left,False,2,41
354,59,right,pinky,left,False,3,45
355,59,right,pinky,left,False,4,46
356,59,right,pinky,left,False,5,44
357,60,right,pinky,left,False,0,57
358,60,right,pinky,left,False,1,47
359,60,right,pinky,left,False,2,48
360,60,right,pinky,left,False,3,46
361,60,right,pinky,left,False,4,45
362,60,right,pinky,left,False,5,43
363,61,right,pinky,right,True,0,65
364,61,right,pinky,right,True,1,64
365,61,right,pinky,right,True,2,62
366,61,right,pinky,right,True,3,59
367,61,right,pinky,right,True,4,60
368,61,right,pinky,right,True,5,68
369,62,right,index,right,True,0,82
370,62,right,index,right,True,1,73
371,62,right,index,right,True,2,71
372,62,right,index,right,True,3,68
373,62,right,index,right,True,4,60
374,62,right,index,right,True,5,61
375,63,right,pinky,right,True,0,63
376,63,right,pinky,right,True,1,60
377,63,right,pinky,right,True,2,59
378,63,right,pinky,right,True,3,58
379,63,right,pinky,right,True,4,56
380,63,right,pinky,right,True,5,52
381,64,right,index,right,True,0,64
382,64,right,index,right,True,1,65
383,64,right,index,right,True,2,61
384,64,right,index,right,True,3,71
385,64,right,index,right,True,4,59
386,64,right,index,right,True,5,54
387,65,right,index,right,True,0,70
388,65,right,index,right,True,1,64
389,65,right,index,right,True,2,62
390,65,right,index,right,True,3,58
391,65,right,index,right,True,4,57
392,65,right,index,right,True,5,53
393,66,right,pinky,right,True,0,48
394,66,right,pinky,right,True,1,48
395,66,right,pinky,right,True,2,45
396,66,right,pinky,right,True,3,39
397,66,right,pinky,right,True,4,44
398,66,right,pinky,right,True,5,42
399,67,right,pinky,left,False,0,53
400,67,right,pinky,left,False,1,47
401,67,right,pinky,left,False,2,42
402,67,right,pinky,left,False,3,38
403,67,right,pinky,left,False,4,40
404,67,right,pinky,left,False,5,33
405,68,right,index,left,False,0,54
406,68,right,index,left,False,1,48
407,68,right,index,left,False,2,48
408,68,right,index,left,False,3,48
409,68,right,index,left,False,4,44
410,68,right,index,left,False,5,45
411,69,right,index,right,True,0,71
412,69,right,index,right,True,1,63
413,69,right,index,right,True,2,72
414,69,right,index,right,True,3,67
415,69,right,index,right,True,4,69
416,69,right,index,right,True,5,64
417,70,right,pinky,right,True,0,39
418,70,right,pinky,right,True,1,33
419,70,right,pinky,right,True,2,43
420,70,right,pinky,right,True,3,32
421,70,right,pinky,right,True,4,44
422,70,right,pinky,right,True,5,34
423,71,right,index,right,True,0,69
424,71,right,index,right,True,1,62
425,71,right,index,right,True,2,59
426,71,right,index,right,True,3,53
427,71,right,index,right,True,4,58
428,71,right,index,right,True,5,51
429,72,right,index,left,False,0,60
430,72,right,index,left,False,1,51
431,72,right,index,left,False,2,46
432,72,right,index,left,False,3,49
433,72,right,index,left,False,4,48
434,72,right,index,left,False,5,50
435,73,right,pinky,right,True,0,59
436,73,right,pinky,right,True,1,38
437,73,right,pinky,right,True,2,51
438,73,right,pinky,right,True,3,57
439,73,right,pinky,right,True,4,54
440,73,right,pinky,right,True,5,50
441,74,right,index,right,True,0,66
442,74,right,index,right,True,1,64
443,74,right,index,right,True,2,59
444,74,right,index,right,True,3,63
445,74,right,index,right,True,4,60
446,74,right,index,right,True,5,58
447,75,right,index,left,False,0,50
448,75,right,index,left,False,1,56
449,75,right,index,left,False,2,54
450,75,right,index,left,False,3,54
451,75,right,index,left,False,4,55
452,75,right,index,left,False,5,52
453,76,right,pinky,right,True,0,62
454,76,right,pinky,right,True,1,63
455,76,right,pinky,right,True,2,62
456,76,right,pinky,right,True,3,59
